X GPS (deg),Y GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,flag,flag,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),drct,drct,drct,drct,drct
0,0,-0.351865,-0.007483,-0.091783,0.025642,3,9756075,0,0,0,0,-141440,-4072044,-8254479.504,0.015987,0.437103,0.024177,-678599.2734,0,0,0,0,0,0
0,0,-0.341094,-0.005498,-0.096059,0.025642,3,9756085,0.01,0,0,0,-142894,-4065415,-8254479.503,0.015511,0.419927,0.024159,-672541.9338,0,0,0,0,0,0
0,0,-0.360243,-0.00672,-0.088117,0.025642,3,9756095,0.02,0,0,0,-144339,-4058847,-8254479.502,0.016175,0.403817,0.024197,-666538.6632,0,0,0,0,0,0
0,0,-0.347078,-0.008247,-0.091324,0.025642,3,9756105,0.03,0,0,0,-145775,-4052338,-8254479.502,0.015743,0.388296,0.024196,-660588.979,0,0,0,0,0,0
0,0,-0.347078,-0.00336,-0.086437,0.025642,3,9756115,0.04,0,0,0,-147202,-4045888,-8254479.501,0.015664,0.373853,0.024224,-654692.4029,0,0,0,0,0,0
0,0,-0.344684,-0.005498,-0.087812,0.025642,3,9756125,0.05,0,0,0,-148620,-4039497,-8254479.5,0.015543,0.360031,0.024232,-648848.4607,0,0,0,0,0,0
0,0,-0.349471,-0.006414,-0.090561,0.025642,3,9756135,0.06,0,0,0,-150030,-4033163,-8254479.5,0.0157,0.346937,0.024226,-643056.6828,0,0,0,0,0,0
0,0,-0.342291,-0.004734,-0.091783,0.025642,3,9756145,0.07,0,0,0,-151431,-4026887,-8254479.499,0.015431,0.334524,0.024219,-637316.6035,0,0,0,0,0,0
0,0,-0.339897,-0.005803,-0.092852,0.025642,3,9756155,0.08,0,0,0,-152823,-4020668,-8254479.499,0.015283,0.32269,0.024213,-631627.7613,0,0,0,0,0,0
0,0,-0.344684,-0.005803,-0.091935,0.025642,3,9756165,0.09,0,0,0,-154207,-4014505,-8254479.498,0.015438,0.311531,0.024219,-625989.6988,0,0,0,0,0,0
0,0,-0.347078,-0.001374,-0.090561,0.025642,3,9756175,0.1,0,0,0,-155582,-4008398,-8254479.497,0.015498,0.300995,0.024252,-620401.9627,0,0,0,0,0,0
0,0,-0.351865,-0.004887,-0.088423,0.025642,3,9756185,0.11,0,0,0,-156949,-4002346,-8254479.497,0.015548,0.291202,0.024246,-614864.1039,0,0,0,0,0,0
0,0,-0.367424,-0.009621,-0.087812,0.025642,3,9756195,0.12,0,0,0,-158307,-3996350,-8254479.496,0.015733,0.281795,0.024256,-609375.6772,0,0,0,0,0,0
0,0,-0.367424,-0.009621,-0.087812,0.025642,3,9756205,0.13,0,0,0,-159657,-3990407,-8254479.495,0.016364,0.272798,0.024266,-603936.2413,0,0,0,0,0,0
0,0,-0.342291,-0.003665,-0.090561,0.025642,3,9756215,0.14,0,0,0,-160998,-3984519,-8254479.495,0.015936,0.264306,0.024268,-598545.3588,0,0,0,0,0,0
0,0,-0.342291,-0.003665,-0.090561,0.025642,3,9756225,0.15,0,0,0,-162332,-3978684,-8254479.494,0.015392,0.256238,0.024258,-593202.5964,0,0,0,0,0,0
0,0,-0.36144,-0.005192,-0.093157,0.025642,3,9756235,0.16,0,0,0,-163656,-3972901,-8254479.494,0.016244,0.248801,0.024264,-587907.5246,0,0,0,0,0,0
0,0,-0.36144,-0.005192,-0.093157,0.025642,3,9756245,0.17,0,0,0,-164973,-3967172,-8254479.493,0.01618,0.24165,0.024248,-582659.7177,0,0,0,0,0,0
0,0,-0.348275,-0.007789,-0.092699,0.025642,3,9756255,0.18,0,0,0,-166281,-3961494,-8254479.492,0.016212,0.234995,0.024253,-577458.7538,0,0,0,0,0,0
0,0,-0.348275,-0.007789,-0.092699,0.025642,3,9756265,0.19,0,0,0,-167582,-3955868,-8254479.492,0.015642,0.228296,0.024246,-572304.2147,0,0,0,0,0,0
0,0,-0.363833,-0.006414,-0.087812,0.025642,3,9756275,0.2,0,0,0,-168874,-3950292,-8254479.491,0.01583,0.222003,0.024251,-567195.686,0,0,0,0,0,0
0,0,-0.363833,-0.006414,-0.087812,0.025642,3,9756285,0.21,0,0,0,-170158,-3944768,-8254479.49,0.016185,0.216237,0.024275,-562132.7571,0,0,0,0,0,0
0,0,-0.355456,-0.00504,-0.096059,0.025642,3,9756295,0.22,0,0,0,-171434,-3939293,-8254479.49,0.015243,0.210484,0.024265,-557115.0209,0,0,0,0,0,0
0,0,-0.362636,-0.00733,-0.088881,0.025642,3,9756305,0.23,0,0,0,-172702,-3933868,-8254479.489,0.015755,0.205316,0.024245,-552142.074,0,0,0,0,0,0
0,0,-0.329125,-0.005192,-0.094684,0.025642,3,9756315,0.24,0,0,0,-173962,-3928492,-8254479.489,0.01611,0.200362,0.02427,-547213.5167,0,0,0,0,0,0
0,0,-0.329125,-0.005192,-0.094684,0.025642,3,9756325,0.25,0,0,0,-175214,-3923165,-8254479.488,0.014841,0.195396,0.024249,-542328.9526,0,0,0,0,0,0
0,0,-0.341094,-0.006567,-0.091019,0.025642,3,9756335,0.26,0,0,0,-176458,-3917887,-8254479.487,0.015394,0.190863,0.024266,-537487.9891,0,0,0,0,0,0
0,0,-0.341094,-0.006567,-0.091019,0.025642,3,9756345,0.27,0,0,0,-177695,-3912656,-8254479.487,0.015192,0.186487,0.02427,-532690.237,0,0,0,0,0,0
0,0,-0.354259,-0.008858,-0.094226,0.025642,3,9756355,0.28,0,0,0,-178923,-3907473,-8254479.486,0.016055,0.182661,0.024264,-527935.3107,0,0,0,0,0,0
