Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,flag,flag,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),drct,drct,drct,drct,drct
0,0,-1.809592,-0.003433,-0.000827,0,3,152232,0,0,0,0,0.69,-0.000182,-0.000254,-0.000921,-0.004163,-0.00033,3,0,0,0,0,0,0
0,0,-1.816773,-0.004044,0.001311,0,3,152252,0.02,0,0,0,0.75,-0.000195,-0.00025,-0.000988,-0.003738,0.000448,3,0,0,0,0,0,0
0,0,-1.814379,-0.006793,0.004213,0,3,152272,0.04,0,0,0,0.81,-0.000208,-0.000246,-0.001104,-0.006249,0.001241,3,0,0,0,0,0,0
0,0,-1.804805,-0.004044,-0.001743,0,3,152293,0.061,0,0,0,0.87,-0.000224,-0.00025,-0.001198,-0.004638,-0.000673,3,0,0,0,0,0,0
0,0,-1.808395,-0.002516,-0.003423,0,3,152312,0.08,0,0,0,0.93,-0.000243,-0.000258,-0.001289,-0.003976,-0.000993,3,0,0,0,0,0,0
0,0,-1.820363,-0.006334,-0.00159,0,3,152332,0.1,0,0,0,0.99,-0.000277,-0.000294,-0.00138,-0.005609,-0.000524,3,0,0,0,0,0,0
0,0,-1.814379,-0.003738,-0.003423,0,3,152352,0.12,0,0,0,1.05,-0.0003,-0.000303,-0.001486,-0.004965,-0.001016,3,0,0,0,0,0,0
0,0,-1.816773,-0.00328,-0.000521,0,3,152372,0.14,0,0,0,1.11,-0.000329,-0.000324,-0.001537,-0.003127,-0.000137,3,0,0,0,0,0,0
0,0,-1.794033,-0.004044,-0.000521,0,3,152392,0.16,0,0,0,1.17,-0.000366,-0.000359,-0.001593,-0.003628,-0.000287,3,0,0,0,0,0,0
0,0,-1.800017,-0.002822,-0.003118,0,3,152412,0.18,0,0,0,1.23,-0.000404,-0.000392,-0.001651,-0.003239,-0.001043,3,0,0,0,0,0,0
0,0,-1.804805,-0.000684,0.002686,0,3,152432,0.2,0,0,0,1.29,-0.00043,-0.000395,-0.001678,-0.001201,0.00091,3,0,0,0,0,0,0
0,0,-1.801214,-0.003891,-0.000369,0,3,152452,0.22,0,0,0,1.35,-0.000445,-0.000379,-0.001707,-0.002805,-0.000144,3,0,0,0,0,0,0
0,0,-1.790443,-0.002822,-0.000674,0,3,152472,0.24,0,0,0,1.41,-0.000454,-0.000351,-0.001786,-0.003758,-0.000075,3,0,0,0,0,0,0
0,0,-1.801214,-0.003891,-0.002507,0,3,152493,0.261,0,0,0,1.47,-0.000477,-0.000354,-0.001897,-0.0052,-0.000758,3,0,0,0,0,0,0
0,0,-1.789246,-0.002975,-0.000063,0,3,152512,0.28,0,0,0,1.53,-0.000507,-0.000371,-0.001978,-0.003867,-0.000009,3,0,0,0,0,0,0
0,0,-1.803608,-0.0016,-0.004645,0,3,152532,0.3,0,0,0,1.59,-0.000522,-0.000357,-0.002041,-0.002981,-0.00134,3,0,0,0,0,0,0
0,0,-1.801214,-0.002516,0.000242,0,3,152552,0.32,0,0,0,1.65,-0.000568,-0.000404,-0.002119,-0.003594,0.000024,3,0,0,0,0,0,0
0,0,-1.809592,-0.004044,-0.005714,0,3,152572,0.34,0,0,0,1.71,-0.000588,-0.000395,-0.002158,-0.00346,-0.001695,3,0,0,0,0,0,0
0,0,-1.801214,-0.007251,-0.001438,0,3,152593,0.361,0,0,0,1.77,-0.000642,-0.000453,-0.002238,-0.005047,-0.000679,3,0,0,0,0,0,0
0,0,-1.785655,-0.001142,-0.002659,0,3,152612,0.38,0,0,0,1.83,-0.000685,-0.000484,-0.002328,-0.003459,-0.000853,3,0,0,0,0,0,0
0,0,-1.815576,-0.005724,0.002686,0,3,152632,0.4,0,0,0,1.89,-0.00073,-0.000514,-0.002389,-0.004509,0.000774,3,0,0,0,0,0,0
0,0,-1.811985,-0.000989,0.0007,0,3,152652,0.42,0,0,0,1.95,-0.000751,-0.000497,-0.002435,-0.00206,0.000201,3,0,0,0,0,0,0
0,0,-1.79523,-0.0016,-0.00495,0,3,152672,0.44,0,0,0,2.01,-0.00078,-0.000496,-0.002469,-0.002228,-0.001509,3,0,0,0,0,0,0
0,0,-1.79882,-0.003586,-0.001285,0,3,152693,0.461,0,0,0,2.07,-0.000838,-0.00055,-0.002496,-0.001263,0.000243,3,0,0,0,0,0,0
0,0,-1.802411,-0.008014,0.003144,0,3,152712,0.48,0,0,0,2.13,-0.000872,-0.000553,-0.002578,-0.006108,0.000908,3,0,0,0,0,0,0
1.006837202,0.209087984,-1.780868,-0.006793,0.000853,0,3,152732,0.5,0,0,0,2.19,-0.000904,-0.00055,-0.00269,-0.006501,0.000173,3,0,0,0,0,0,0
1.006837202,0.209087984,-1.79523,-0.004196,-0.00098,0,3,152752,0.52,0,0,0,2.25,-0.000923,-0.000523,-0.002773,-0.00473,-0.000803,3,0,0,0,0,0,0
1.006837202,0.209087984,-1.780868,-0.001295,-0.002659,0,3,152772,0.54,0,0,0,2.31,-0.00097,-0.000554,-0.002835,-0.002836,-0.000841,3,0,0,0,0,0,0
