Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,flag,flag,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),drct,drct,drct,drct,drct
0,0,-1.783262,-0.011527,-0.000827,0,3,978916,0,0,0,0,0.54,0.000053,0.000093,-0.000821,-0.009648,-0.000075,3,0,0,0,0,0,0
0,0,-1.819166,-0.00664,-0.001896,0,3,978936,0.02,0,0,0,0.6,0.000059,0.000094,-0.000969,-0.007279,-0.00056,3,0,0,0,0,0,0
0,0,-1.801214,-0.004655,0.002533,0,3,978956,0.04,0,0,0,0.66,0.000041,0.000047,-0.001043,-0.004162,0.000631,3,0,0,0,0,0,0
0,0,-1.790443,-0.006793,0.002838,0,3,978976,0.06,0,0,0,0.72,0.000043,0.000046,-0.001129,-0.005469,0.000783,3,0,0,0,0,0,0
0,0,-1.852677,-0.00328,0.004671,0,3,978996,0.08,0,0,0,0.78,0.000055,0.000063,-0.001186,-0.003002,0.001398,3,0,0,0,0,0,0
0,0,-1.801214,-0.006945,0.000548,0,3,979016,0.1,0,0,0,0.84,0.000099,0.000141,-0.001268,-0.005569,0.000336,3,0,0,0,0,0,0
0,0,-1.820363,-0.005113,-0.000521,0,3,979036,0.12,0,0,0,0.9,0.000129,0.000185,-0.001308,-0.00143,0.000909,3,0,0,0,0,0,0
0,0,-1.822757,-0.004502,0.000242,0,3,979056,0.14,0,0,0,0.96,0.000152,0.000207,-0.001385,-0.00435,0.000066,3,0,0,0,0,0,0
0,0,-1.782065,-0.003586,0.000089,0,3,979076,0.16,0,0,0,1.02,0.000159,0.000196,-0.001458,-0.003828,-0.000022,3,0,0,0,0,0,0
0,0,-1.785655,-0.006334,0.002991,0,3,979096,0.18,0,0,0,1.08,0.000158,0.000171,-0.001525,-0.004786,0.000802,3,0,0,0,0,0,0
0,0,-1.802411,-0.003433,0.001464,0,3,979116,0.2,0,0,0,1.14,0.000186,0.000206,-0.001619,-0.004336,0.000499,3,0,0,0,0,0,0
0,0,-1.809592,-0.001753,-0.000369,0,3,979136,0.22,0,0,0,1.2,0.000199,0.000205,-0.001689,-0.002964,-0.000164,3,0,0,0,0,0,0
0,0,-1.834725,-0.00496,-0.002659,0,3,979156,0.24,0,0,0,1.26,0.000208,0.0002,-0.001781,-0.005161,-0.000807,3,0,0,0,0,0,0
0,0,-1.807198,-0.004502,-0.004187,0,3,979176,0.26,0,0,0,1.32,0.000207,0.000174,-0.001879,-0.005175,-0.001284,3,0,0,0,0,0,0
0,0,-1.79523,-0.005418,0.000395,0,3,979196,0.28,0,0,0,1.38,0.000194,0.00013,-0.001969,-0.005184,0.000074,3,0,0,0,0,0,0
0,0,-1.831135,-0.006334,-0.001743,0,3,979216,0.3,0,0,0,1.44,0.000211,0.000148,-0.002079,-0.006272,-0.00046,3,0,0,0,0,0,0
0,0,-1.785655,-0.002058,-0.001438,0,3,979236,0.32,0,0,0,1.5,0.00021,0.000127,-0.002146,-0.003137,-0.000468,3,0,0,0,0,0,0
0,0,-1.819166,-0.005113,-0.005866,0,3,979256,0.34,0,0,0,1.56,0.000222,0.000137,-0.002278,-0.006548,-0.001681,3,0,0,0,0,0,0
0,0,-1.81797,-0.008014,0.001464,0,3,979276,0.36,0,0,0,1.62,0.000209,0.000097,-0.002373,-0.006512,0.000453,3,0,0,0,0,0,0
0,0,-1.829938,-0.001447,0.002686,0,3,979296,0.38,0,0,0,1.68,0.000219,0.000106,-0.002443,-0.00283,0.000802,3,0,0,0,0,0,0
0,0,-1.832331,-0.005113,0.002838,0,3,979316,0.4,0,0,0,1.74,0.000245,0.000144,-0.00251,-0.004404,0.000926,3,0,0,0,0,0,0
0,0,-1.803608,-0.004196,0.001617,0,3,979336,0.42,0,0,0,1.8,0.000275,0.000185,-0.002597,-0.004634,0.00056,3,0,0,0,0,0,0
0,0,-1.792836,-0.004502,0.001158,0,3,979356,0.44,0,0,0,1.86,0.000299,0.00021,-0.002684,-0.00476,0.000393,3,0,0,0,0,0,0
0,0,-1.828741,-0.002516,0.001158,0,3,979376,0.46,0,0,0,1.92,0.000313,0.000213,-0.002732,-0.002817,-0.000511,3,0,0,0,0,0,0
0,0,-1.808395,-0.007098,0.000853,0,3,979396,0.48,0,0,0,1.98,0.000323,0.000207,-0.002769,-0.001956,0.000152,3,0,0,0,0,0,0
0,0,-1.802411,-0.003738,-0.003881,0,3,979416,0.5,0,0,0,2.04,0.000341,0.000218,-0.002858,-0.004721,-0.001142,3,0,0,0,0,0,0
0,0,-1.807198,-0.003891,-0.003118,0,3,979436,0.52,0,0,0,2.1,0.000342,0.000196,-0.00294,-0.004577,-0.000912,3,0,0,0,0,0,0
0,0,-1.796427,-0.006182,-0.000521,0,3,979456,0.54,0,0,0,2.16,0.000351,0.000192,-0.002987,-0.004553,-0.00008,3,0,0,0,0,0,0
0,0,-1.828741,-0.003433,-0.001896,0,3,979476,0.56,0,0,0,2.22,0.000358,0.000182,-0.003094,-0.005049,-0.000602,3,0,0,0,0,0,0
0,0,-1.813182,-0.003891,0.004213,0,3,979496,0.58,0,0,0,2.28,0.00037,0.000186,-0.003164,-0.004009,0.001351,3,0,0,0,0,0,0
0,0,-1.792836,-0.005265,0.000548,0,3,979516,0.6,0,0,0,2.34,0.000401,0.000224,-0.003265,-0.005604,0.000179,3,0,0,0,0,0,0
0,0,-1.826347,-0.002364,0.0007,0,3,979536,0.62,0,0,0,2.4,0.00042,0.000236,-0.003329,-0.003325,0.000242,3,0,0,0,0,0,0
0,0,-1.81797,-0.001906,0.003297,0,3,979556,0.64,0,0,0,2.46,0.000432,0.00023,-0.003415,-0.003608,0.000951,3,0,0,0,0,0,0
0,0,-1.811985,-0.002669,0.004213,0,3,979576,0.66,0,0,0,2.52,0.000459,0.000255,-0.003474,-0.003185,0.001277,3,0,0,0,0,0,0
0,0,-1.785655,-0.004196,-0.000063,0,3,979596,0.68,0,0,0,2.58,0.000501,0.000308,-0.003555,-0.004671,0.000061,3,0,0,0,0,0,0
0,0,-1.811985,-0.005265,0.000089,0,3,979616,0.7,0,0,0,2.64,0.000525,0.000317,-0.003658,-0.005756,0.00006,3,0,0,0,0,0,0
0,0,-1.828741,-0.004502,0.003449,0,3,979636,0.72,0,0,0,2.7,0.000541,0.000312,-0.003744,-0.004834,0.001012,3,0,0,0,0,0,0
0,0,-1.820363,-0.006182,0.001617,0,3,979656,0.74,0,0,0,2.76,0.000577,0.000345,-0.003847,-0.006116,0.000517,3,0,0,0,0,0,0
0,0,-1.794033,-0.000684,0.001006,0,3,979676,0.76,0,0,0,2.82,0.000623,0.000396,-0.003908,-0.002582,0.000461,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.794033,-0.004655,-0.000674,0,3,979696,0.78,0,0,0,2.88,0.000665,0.000432,-0.003986,-0.004876,-0.000104,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.786852,-0.001142,0.001617,0,3,979716,0.8,0,0,0,2.94,0.000695,0.000439,-0.004055,-0.002995,0.000532,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.808395,-0.005724,0.002533,0,3,979736,0.82,0,0,0,3,0.000727,0.00045,-0.004116,-0.004777,0.000753,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.800017,-0.00328,-0.002049,0,3,979756,0.84,0,0,0,3.06,0.000772,0.000486,-0.00416,-0.003416,-0.000554,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.820363,-0.009541,0.000853,0,3,979776,0.86,0,0,0,3.12,0.000803,0.000491,-0.00428,-0.008198,0.000334,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.810789,-0.003891,0.001464,0,3,979796,0.88,0,0,0,3.18,0.000835,0.000494,-0.004355,-0.004425,0.000421,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.806001,-0.004196,-0.00327,0,3,979816,0.9,0,0,0,3.24,0.000871,0.000508,-0.00442,-0.004492,-0.000975,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.808395,-0.000531,0.0007,0,3,979836,0.92,0,0,0,3.3,0.00089,0.000486,-0.004466,-0.002176,0.000226,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.82156,0.000232,-0.000216,0,3,979856,0.94,0,0,0,3.36,0.000921,0.000488,-0.004519,-0.002057,-0.000076,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.796427,-0.005571,0.003755,0,3,979876,0.96,0,0,0,3.42,0.000955,0.000498,-0.00462,-0.005867,0.001185,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.825151,-0.002058,0.004213,0,3,979896,0.98,0,0,0,3.48,0.001028,0.000584,-0.004707,-0.003878,0.0015,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.801214,-0.002364,0.002228,0,3,979916,1,0,0,0,3.54,0.001091,0.000637,-0.004773,-0.003525,0.000733,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.811985,-0.004196,-0.000521,0,3,979937,1.021,0,0,0,3.6,0.001144,0.000665,-0.004821,-0.004903,0.000572,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.815576,-0.002211,0.001617,0,3,979956,1.04,0,0,0,3.66,0.00119,0.000678,-0.004887,-0.003504,0.00048,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.813182,-0.0016,-0.001132,0,3,979976,1.06,0,0,0,3.72,0.001244,0.000704,-0.00495,-0.003267,-0.000283,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.822757,0.001149,-0.002659,0,3,979996,1.08,0,0,0,3.78,0.001285,0.000702,-0.004999,-0.001753,-0.000775,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.794033,-0.002669,0.001006,0,3,980016,1.1,0,0,0,3.84,0.001318,0.000683,-0.005055,-0.003474,0.000309,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.79882,-0.001906,0.005129,0,3,980037,1.121,0,0,0,3.9,0.00136,0.000686,-0.005128,-0.003443,0.001529,3,0,0,0,0,0,0
1.006837412,0.209086352,-1.794033,-0.006334,-0.002812,0,3,980056,1.14,0,0,0,3.96,0.001444,0.000769,-0.005193,-0.005576,-0.000671,3,0,0,0,0,0,0
