Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,flag,flag,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),drct,drct,drct,drct,drct
0,0,-1.826347,-0.002822,-0.00159,0,3,1021546,0,0,0,0,0,0.000095,0.000192,-0.000378,-0.001763,0.000979,0,0,0,0,0,0,0
0,0,-1.794033,-0.003127,0.001464,0,3,1021565,0.019,0,0,0,0,0.000103,0.000207,-0.000431,-0.00286,0.000402,0,0,0,0,0,0,0
0,0,-1.788049,-0.006945,0.00574,0,3,1021585,0.039,0,0,0,0,0.000111,0.000223,-0.000521,-0.005454,0.001753,0,0,0,0,0,0,0
0,0,-1.815576,-0.004196,0.001158,0,3,1021606,0.06,0,0,0,0,0.000152,0.000307,-0.000587,-0.003747,0.000507,0,0,0,0,0,0,0
0,0,-1.81797,0.000996,-0.000521,0,3,1021625,0.079,0,0,0,0,0.000161,0.000325,-0.000625,-0.000698,-0.000132,0,0,0,0,0,0,0
0,0,-1.811985,-0.004044,0.001006,0,3,1021646,0.1,0,0,0,0,0.000156,0.000315,-0.000672,-0.003173,0.000275,0,0,0,0,0,0,0
0,0,-1.803608,-0.002058,-0.000369,0,3,1021665,0.119,0,0,0,0,0.00016,0.000322,-0.000722,-0.002422,-0.00011,0,0,0,0,0,0,0
0,0,-1.810789,0.00176,0.001158,0,3,1021685,0.139,0,0,0,0,0.000181,0.000364,-0.000758,-0.000307,0.000534,0,0,0,0,0,0,0
0,0,-1.825151,-0.006029,-0.000674,0,3,1021706,0.16,0,0,0,0,0.000189,0.00038,-0.000823,-0.004635,-0.000197,0,0,0,0,0,0,0
0,0,-1.802411,-0.001906,0.000242,0,3,1021726,0.18,0,0,0,0,0.00019,0.000383,-0.000897,-0.003026,0.00011,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.780868,-0.005876,-0.002201,0,3,1021746,0.2,0,0,0,0,0.00019,0.000383,-0.000999,-0.005683,-0.000676,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.82156,-0.002822,0.000242,0,3,1021766,0.22,0,0,0,0,0.000175,0.000352,-0.001042,-0.002577,0.000015,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.823954,0.00008,-0.001285,0,3,1021786,0.24,0,0,0,0,0.00017,0.000342,-0.001112,-0.002119,-0.000425,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.800017,-0.003738,0.004671,0,3,1021806,0.26,0,0,0,0,0.000168,0.000339,-0.001148,-0.002655,0.001441,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.807198,-0.005876,0.000242,0,3,1021826,0.28,0,0,0,0,0.000192,0.000387,-0.001206,-0.004413,0.000114,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.800017,-0.009389,0.002228,0,3,1021846,0.3,0,0,0,0,0.000192,0.000386,-0.001344,-0.008121,0.000655,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.789246,-0.005571,-0.002659,0,3,1021866,0.32,0,0,0,0,0.000196,0.000395,-0.001475,-0.006423,-0.000835,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.79523,-0.003586,0.001311,0,3,1021886,0.34,0,0,0,0,0.000179,0.00036,-0.001572,-0.004455,0.000343,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.792836,-0.003891,0.000853,0,3,1021906,0.36,0,0,0,0,0.000178,0.00036,-0.001612,-0.003055,0.00022,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.796427,-0.00328,-0.002049,0,3,1021926,0.38,0,0,0,0,0.000185,0.000372,-0.001689,-0.00394,-0.000588,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.829938,-0.003127,-0.002812,0,3,1021946,0.4,0,0,0,0,0.000198,0.000399,-0.001738,-0.003145,-0.000679,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.810789,-0.000989,0.00238,0,3,1021966,0.42,0,0,0,0,0.000181,0.000364,-0.001786,-0.001958,0.000648,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.813182,-0.004196,-0.001438,0,3,1021986,0.44,0,0,0,0,0.000194,0.00039,-0.001828,-0.003379,-0.000397,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.816773,-0.000837,-0.002201,0,3,1022006,0.46,0,0,0,0,0.000189,0.000381,-0.001841,-0.001108,-0.000661,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.789246,-0.000837,0.0007,0,3,1022025,0.479,0,0,0,0,0.000174,0.000351,-0.001874,-0.001542,0.00016,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.803608,-0.005265,0.001311,0,3,1022045,0.499,0,0,0,0,0.000181,0.000364,-0.001925,-0.004003,0.000432,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.804805,-0.002058,-0.003118,0,3,1022065,0.519,0,0,0,0,0.000186,0.000374,-0.002022,-0.004049,-0.000946,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.823954,-0.000531,-0.001743,0,3,1022085,0.539,0,0,0,0,0.000184,0.000371,-0.002047,-0.001302,-0.000436,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.806001,-0.002669,0.001311,0,3,1022106,0.56,0,0,0,0,0.000192,0.000386,-0.002077,-0.002299,0.0005,0,0,0,0,0,0,0
1.006836129,0.20908725,-1.804805,-0.001906,-0.002965,0,3,1022125,0.579,0,0,0,0,0.000203,0.000408,-0.002109,-0.002208,-0.000858,0,0,0,0,0,0,0
