Time,X_estimated,Y_estimated,Psi_estimated,Roll_estimated,Rollrate_estimated,Delta_estimated,Velocity_estimated,GPS_X,GPS_Y,a_y,w_x,w_z,Delta_enc,Velocity,Steerrate
0,0.0075955131796222,20.0000284833079,0.00375000000002873,0,0,0,1.99729088668935,1.38777878078145e-17,20,0,0,0,0,2,0
0.01,0.0275682816121648,20.0001033815406,0.00375000000002873,-4.35899334870879e-20,-1.05560756452542e-21,9.4555990000794e-21,1.99731506877588,1.38777878078145e-17,20,-2.44221672194472e-21,1.71709498140133e-20,1.76586845901887e-20,1.02886088485428e-20,2,1.02886088485428e-18
0.02,0.0475412918638725,20.0001782806802,0.00375000000002873,5.69424403682071e-20,1.91155041318102e-20,-2.95157962818656e-21,1.99733903500828,1.38777878078145e-17,20,-2.64096511260064e-21,-7.13906203343597e-21,-7.9761293938405e-21,-4.64719073719596e-21,2,-1.49357995857388e-18
0.03,0.067514541776219,20.0002531807184,0.00375000000002873,1.33033179522263e-19,-2.57658487443759e-21,-3.20762488076178e-20,1.99736278731331,1.38777878078145e-17,20,5.88411840048049e-21,-5.63869290040478e-20,-5.8370917948574e-20,-3.40090758083385e-20,2,-2.93618850711426e-18
0.04,0.0874880292099457,20.0003280816474,0.00375000000002873,0.000114457902409925,2.77180114247497e-06,-2.48283936450667e-05,1.99738632760051,1.38777878078145e-17,20,6.41274213757591e-06,-4.50872653682816e-05,-4.63679532365259e-05,-2.70157004912586e-05,2,-0.00270157004912585
0.05,0.107461752838143,20.0004027719257,0.0037495738619777,0.000268392028758526,-4.0072801100923e-05,-8.29036619522613e-05,1.99740965776241,1.38777878078145e-17,20,3.03489340265805e-05,-0.000145877784501208,-0.00014835589406719,-8.6437682072947e-05,2,-0.00594219815816885
0.06,0.12743571165341,20.0004769597764,0.00374815095861016,0.000404875554088765,-0.00014501628790457,-0.000169500539908664,1.99743277967462,1.38777878078145e-17,20,8.27111570892116e-05,-0.000295637988745025,-0.000296950446839591,-0.000173014415616782,2,-0.00865767335438345
0.07,0.147409904557077,20.0005503822829,0.00374524176396959,0.000529020841649251,-0.000304846724652725,-0.00028162333646276,1.99745569519602,1.38777878078145e-17,20,0.000173726901211071,-0.000492977857097468,-0.000488845177920586,-0.000284819449457503,2,-0.0111805033840722
0.08,0.167384330405586,20.0006227922728,0.00374040816815013,0.000642051601905617,-0.00051600841749841,-0.000417297513991179,1.99747840616891,1.38777878078145e-17,20,0.000313371904245902,-0.000736825895535863,-0.000721081328691061,-0.000420128900371882,2,-0.0135309450914379
0.09,0.187358988035633,20.0006939506443,0.00373324595089771,0.000763021546636519,-0.000775871742803759,-0.00057893089414659,1.99750091441911,1.38777878078145e-17,20,0.000512470547741455,-0.0010336885314005,-0.00099850365553533,-0.000581765504286262,2,-0.016163660391438
0.1,0.202784774141901,20.0007440532694,0.00371294183832489,0.000858309894107915,-0.0010913927890818,-0.000761741598511214,1.99652961600842,0.199998656968295,20.0007326572401,0.000781251410703625,-0.00137614871731081,-0.00131137010029104,-0.000764053174440029,2,-0.0182287670153767
0.11,0.222749956778725,20.0008116931804,0.00369986781167527,0.000938716249218231,-0.00145500671841988,-0.000963284406840388,1.99656059334911,0.199998656968295,20.0007326572401,0.00112923773925324,-0.00176294213357475,-0.00165650904905067,-0.000965144010172952,2,-0.0201090835732922
0.12,0.242715456422559,20.0008773561035,0.00368333463818074,0.00100672812850903,-0.00186437997967823,-0.00118198599797749,1.99659129417987,0.199998656968295,20.0007326572401,0.00156574862762796,-0.00219326793992105,-0.00203124734182703,-0.00118348052868628,2,-0.0218336518513326
0.13,0.262681271018689,20.0009408267656,0.00366304781589449,0.00108166504242053,-0.00231803592645625,-0.00142052321004874,1.99662172096888,0.199998656968295,20.0007326572401,0.00210101282589118,-0.00267392552909868,-0.00244073432132372,-0.0014220629292663,2,-0.0238582400580026
0.14,0.282647398608604,20.0010018612047,0.00363866689939882,0.00112989110521331,-0.00282380955387157,-0.00167430571908557,1.99665187616229,0.199998656968295,20.0007326572401,0.00274472213886422,-0.00319776466188325,-0.00287550046947683,-0.00167537391718781,2,-0.0253310987921503
0.15,0.302613837098093,20.0010602477663,0.00360993022854651,0.00116215560304905,-0.00337476942126559,-0.00194104081680804,1.99668176218443,0.199998656968295,20.0007326572401,0.00350591681772029,-0.00376376522757423,-0.00333261888196609,-0.00194170816873121,2,-0.0266334251543399
0.16,0.322580584319181,20.0011157891016,0.00357661549371183,0.00119980616273127,-0.00396859124035653,-0.00222338794251533,1.99671138143796,0.199998656968295,20.0007326572401,0.00439454179501436,-0.00437879989076536,-0.00381729728676304,-0.00222409990061944,2,-0.0282391731888238
0.17,0.342547638173931,20.0011682607612,0.00353845474042003,0.00120969774771511,-0.00461312106232009,-0.00251684706031716,1.99674073630412,0.199998656968295,20.0007326572401,0.00542003045401056,-0.00503585975414288,-0.00432019511862053,-0.00251710695085221,2,-0.0293007050232763
0.18,0.36251499641028,20.0012174712809,0.00349525724982228,0.00120268150994495,-0.0053016099686999,-0.00281921745258875,1.99676982914288,0.199998656968295,20.0007326572401,0.00659119616105756,-0.00573407543331805,-0.00483852192891478,-0.00281910349989264,2,-0.0301996549040432
0.19,0.382482656684701,20.001263244134,0.00344687007472477,0.00118124733638466,-0.00603238586893849,-0.00312914773321034,1.99679866229315,0.199998656968295,20.0007326572401,0.00791673167899156,-0.00647303529545737,-0.0053699730360175,-0.00312874675418934,2,-0.0309643254296696
0.2,0.400929835820159,20.0012921330546,0.0033601080383565,0.00116467363773676,-0.00680452776301843,-0.00344951701379913,1.99649499307272,0.399997874839251,20.0012856879927,0.0094063199790117,-0.00725990987126031,-0.00592004049550929,-0.00344923659034436,2,-0.032048983615502
