Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed VESC (rad/s),Time (ms),Time,flag,Input,Reset Traj,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),Rollref,Closestpoint,Error1,Error2,Dpsiref contribution,Lateral contribution,Heading contribution
0.0000000000,0.0000000000,-0.098578,-0.00532,0.007378,0.062379,-0.042726,5408228,0,0,0,0,1331912.186509,6414564.288914,2.053392,0.00033,-0.003793,0.062086,-0.013288,0,0.000001,1,0.014221,0.028752,-0.037975,-0.000064,-0.002783
1.0068374318,0.2090594415,-0.067461,-0.011275,0.0086,0.062379,-0.042726,5408327,0,1,0,0,1331905.858758,6414572.212404,-2.522509,-0.000686,-0.007458,0.062079,-0.013278,0,0.000003,65,-0.60713,1.545314,-0.040305,0.002715,-0.149555
1.0068374318,0.2090594415,-0.081823,-0.018148,0.004171,0.062549,-0.042726,5408427,0,7,0,0,1331905.862930,6414572.208882,-2.511842,-0.002365,-0.015704,0.062242,-0.013288,0,0.000003,65,-0.608348,1.555978,-0.027622,0.002721,-0.150588
1.0068374318,0.2090594444,-0.106956,-0.01998,0.006309,0.062662,-0.042726,5408527,0,14,0,0,1331905.867146,6414572.205397,-2.501152,-0.00469,-0.019979,0.062353,-0.013288,0,0.000003,65,-0.609624,1.566666,-0.019216,0.002726,-0.151622
1.0068374289,0.2090594444,-0.128499,-0.027463,0.008753,0.062804,-0.042726,5408627,0,20,0,0,1331905.871408,6414572.201945,-2.490433,-0.007337,-0.027463,0.062501,-0.013288,0,0.000003,65,-0.610957,1.577382,-0.013644,0.002732,-0.152659
1.0068374289,0.2090594444,-0.230229,-0.012344,0.004019,0.062832,-0.042726,5408727,0,28,0,0,1331905.875709,6414572.198535,-2.479705,-0.009633,-0.016161,0.062523,-0.013288,0,0.000003,65,-0.612488,1.589183,-0.009951,0.002739,-0.153801
1.0068374289,0.2090594444,-0.151238,-0.015093,0.004629,0.063228,-0.042726,5408827,0,34,0,0,1331905.880053,6414572.195164,-2.468955,-0.010861,-0.008978,0.062918,-0.013288,0,0.000002,65,-0.61394,1.599932,-0.007503,0.002746,-0.154841
1.0068374289,0.2090594444,-0.151238,-0.016315,0.006615,0.064756,-0.042726,5408927,0,41,0,0,1331905.884490,6414572.191768,-2.458022,-0.012129,-0.012794,0.064449,-0.013288,0,0.000002,65,-0.615453,1.610866,-0.00588,0.002752,-0.1559
1.0068374289,0.2090594444,-0.197914,-0.015857,0.005698,0.065521,-0.042726,5409027,0,47,0,0,1331905.889029,6414572.188344,-2.446885,-0.013606,-0.018147,0.065194,-0.013288,0,0.000002,65,-0.616869,1.620884,-0.004805,0.002759,-0.156869
1.0068374289,0.2090594444,-0.232622,-0.008832,0.006462,0.065521,-0.042726,5409128,0,53,0,0,1331908.724120,6414569.518222,1.088827,-0.015029,-0.011884,0.065207,-0.013291,0,-0.000002,65,-1.030637,-1.189811,-0.004093,0.004609,0.11515
1.0068374289,0.2090594444,-0.21467,-0.00593,0.006615,0.065549,-0.042726,5409227,0,59,0,0,1331910.927633,6414567.576728,-1.498395,-0.015928,-0.009594,0.06523,-0.013288,0,0.000004,65,-1.44484,2.506152,-0.003622,0.006461,-0.242545
1.0068374318,0.2090594444,-0.156026,-0.00761,0.004629,0.065606,-0.042726,5409327,0,66,0,0,1331912.563287,6414566.186329,-0.104434,-0.016663,-0.007608,0.065276,-0.013286,0,-0.000004,65,-1.786111,-2.383073,-0.003304,0.007987,0.230634
1.0068374289,0.2090594444,-0.171584,-0.010817,0.005546,0.065719,-0.042726,5409427,0,72,0,0,1331913.704310,6414565.009161,-1.064467,-0.017682,-0.010814,0.065335,-0.013286,0,0.000004,65,-1.889204,2.940078,-0.003094,0.008449,-0.284541
1.0068374318,0.2090594473,-0.208686,-0.00929,0.008447,0.065832,-0.042726,5409527,0,79,0,0,1331914.633936,6414564.197615,-0.684154,-0.018765,-0.009288,0.065485,-0.01328,0,-0.000005,65,-2.069253,-2.962797,-0.002955,0.009254,0.286739
1.0068374318,0.2090594444,-0.201505,-0.013872,0.00692,0.06603,-0.042726,5409627,0,85,0,0,1331915.319469,6414563.546844,-0.747626,-0.019865,-0.014783,0.065659,-0.013288,0,-0.000005,65,-2.168006,-3.026271,-0.002863,0.009695,0.292883
1.0068374318,0.2090594444,-0.190734,-0.010054,0.012876,0.066256,-0.042726,5409727,0,93,0,0,1331915.855662,6414563.044903,-0.749947,-0.020974,-0.012339,0.065901,-0.013283,0,-0.000005,65,-2.249843,-3.028597,-0.002803,0.010061,0.293108
1.0068374318,0.2090594444,-0.213473,-0.013566,0.004935,0.066709,-0.042726,5409827,0,93,0,0,1331915.858505,6414563.049945,-0.738598,-0.022122,-0.01341,0.066384,-0.013288,0,-0.000005,65,-2.255277,-3.017256,-0.002765,0.010086,0.29201
1.0068374289,0.2090594444,-0.217064,-0.015246,0.004782,0.066851,-0.042726,5409927,0,106,0,0,1331916.596238,6414562.343677,-0.75367,-0.023199,-0.011119,0.066503,-0.013285,0,-0.000005,65,-2.357703,-3.032331,-0.002737,0.010544,0.293469
